category,item,variety,date,price,unit
fruit,pears,doyenne_du_comice,2022-03-04,1.03,kg
vegetable,beetroot,beetroot,2022-03-04,0.5,kg
vegetable,brussels_sprouts,brussels_sprouts,2022-03-04,0.77,kg
vegetable,pak_choi,pak_choi,2022-03-04,3.21,kg
vegetable,curly_kale,curly_kale,2022-03-04,3.17,kg
vegetable,cabbage,red,2022-03-04,0.56,kg
vegetable,cabbage,savoy,2022-03-04,0.52,head
vegetable,spring_greens,prepacked,2022-03-04,1.05,kg
vegetable,cabbage,white,2022-03-04,0.38,kg
vegetable,cabbage,round_green_other,2022-03-04,0.47,head
vegetable,capsicum,red,2022-03-04,0.95,kg
vegetable,carrots,topped_washed,2022-03-04,0.44,kg
vegetable,cauliflower,all,2022-03-04,0.7,head
vegetable,celeriac,celeriac,2022-03-04,0.81,kg
vegetable,cucumbers,cucumbers,2022-03-04,1.32,kg
vegetable,leeks,trimmed,2022-03-04,1.11,kg
vegetable,lettuce,butterhead_indoor,2022-03-04,0.47,head
vegetable,lettuce,little_gem,2022-03-04,0.79,twin
vegetable,onion,bulb_brown,2022-03-04,0.41,kg
vegetable,onion,bulb_red,2022-03-04,0.56,kg
vegetable,swede,swede,2022-03-04,0.24,kg
vegetable,turnip,turnip,2022-03-04,1.07,kg
vegetable,parsnips,all_varieties,2022-03-04,0.99,kg
vegetable,rhubarb,forced,2022-03-04,5.34,kg
vegetable,rhubarb,outdoor,2022-03-04,4.01,kg
cut_flowers,tulips,tulips,2022-03-04,0.29,stem
fruit,apples,bramleys_seedling,2022-02-25,1.9,kg
fruit,apples,coxs_orange_group,2022-02-25,1.5,kg
fruit,apples,egremont_russet,2022-02-25,1.18,kg
fruit,apples,braeburn,2022-02-25,1.09,kg
fruit,apples,gala,2022-02-25,1.07,kg
fruit,apples,other_late_season,2022-02-25,0.82,kg
fruit,pears,conference,2022-02-25,1.11,kg
fruit,pears,doyenne_du_comice,2022-02-25,1.13,kg
vegetable,beetroot,beetroot,2022-02-25,0.49,kg
vegetable,brussels_sprouts,brussels_sprouts,2022-02-25,0.79,kg
vegetable,pak_choi,pak_choi,2022-02-25,4.07,kg
vegetable,curly_kale,curly_kale,2022-02-25,3.2,kg
vegetable,cabbage,red,2022-02-25,0.57,kg
vegetable,cabbage,savoy,2022-02-25,0.5,head
vegetable,spring_greens,prepacked,2022-02-25,1.07,kg
vegetable,cabbage,white,2022-02-25,0.41,kg
vegetable,cabbage,round_green_other,2022-02-25,0.47,head
vegetable,capsicum,red,2022-02-25,0.95,kg
vegetable,carrots,topped_washed,2022-02-25,0.43,kg
vegetable,cauliflower,all,2022-02-25,0.75,head
vegetable,celeriac,celeriac,2022-02-25,0.81,kg
vegetable,cucumbers,cucumbers,2022-02-25,1,kg
vegetable,leeks,trimmed,2022-02-25,1.07,kg
vegetable,lettuce,butterhead_indoor,2022-02-25,0.47,head
vegetable,lettuce,little_gem,2022-02-25,0.82,twin
vegetable,onion,bulb_brown,2022-02-25,0.4,kg
vegetable,onion,bulb_red,2022-02-25,0.61,kg
vegetable,swede,swede,2022-02-25,0.24,kg
vegetable,turnip,turnip,2022-02-25,1.05,kg
vegetable,parsnips,all_varieties,2022-02-25,1.04,kg
vegetable,rhubarb,forced,2022-02-25,5.22,kg
vegetable,rhubarb,outdoor,2022-02-25,5.51,kg
cut_flowers,tulips,tulips,2022-02-25,0.28,stem
fruit,apples,bramleys_seedling,2022-02-18,1.97,kg
fruit,apples,coxs_orange_group,2022-02-18,1.33,kg
fruit,apples,egremont_russet,2022-02-18,1.17,kg
fruit,apples,braeburn,2022-02-18,1.08,kg
fruit,apples,gala,2022-02-18,1.05,kg
fruit,apples,other_late_season,2022-02-18,1.59,kg
fruit,pears,conference,2022-02-18,1.03,kg
fruit,pears,doyenne_du_comice,2022-02-18,1.1,kg
vegetable,beetroot,beetroot,2022-02-18,0.49,kg
vegetable,brussels_sprouts,brussels_sprouts,2022-02-18,0.83,kg
vegetable,pak_choi,pak_choi,2022-02-18,3.74,kg
vegetable,curly_kale,curly_kale,2022-02-18,3.24,kg
vegetable,cabbage,red,2022-02-18,0.6,kg
vegetable,cabbage,savoy,2022-02-18,0.49,head
vegetable,spring_greens,prepacked,2022-02-18,1.04,kg
vegetable,cabbage,white,2022-02-18,0.41,kg
vegetable,cabbage,round_green_other,2022-02-18,0.46,head
vegetable,capsicum,red,2022-02-18,0.9,kg
vegetable,carrots,topped_washed,2022-02-18,0.45,kg
vegetable,cauliflower,all,2022-02-18,0.74,head
vegetable,celeriac,celeriac,2022-02-18,0.76,kg
vegetable,leeks,trimmed,2022-02-18,1.18,kg
vegetable,lettuce,butterhead_indoor,2022-02-18,0.47,head
vegetable,lettuce,little_gem,2022-02-18,0.8,twin
vegetable,onion,bulb_brown,2022-02-18,0.4,kg
vegetable,onion,bulb_red,2022-02-18,0.63,kg
vegetable,swede,swede,2022-02-18,0.24,kg
vegetable,turnip,turnip,2022-02-18,1.02,kg
vegetable,parsnips,all_varieties,2022-02-18,1.04,kg
vegetable,rhubarb,forced,2022-02-18,5.02,kg
cut_flowers,tulips,tulips,2022-02-18,0.28,stem
fruit,apples,bramleys_seedling,2022-02-11,1.97,kg
fruit,apples,coxs_orange_group,2022-02-11,1.28,kg
fruit,apples,egremont_russet,2022-02-11,1.14,kg
fruit,apples,braeburn,2022-02-11,1.04,kg
fruit,apples,gala,2022-02-11,1.05,kg
fruit,apples,other_late_season,2022-02-11,1.29,kg
fruit,pears,conference,2022-02-11,1.12,kg
fruit,pears,doyenne_du_comice,2022-02-11,1.09,kg
vegetable,beetroot,beetroot,2022-02-11,0.5,kg
vegetable,brussels_sprouts,brussels_sprouts,2022-02-11,0.84,kg
vegetable,pak_choi,pak_choi,2022-02-11,3.38,kg
vegetable,curly_kale,curly_kale,2022-02-11,3.45,kg
vegetable,cabbage,red,2022-02-11,0.61,kg
vegetable,cabbage,savoy,2022-02-11,0.48,head
vegetable,spring_greens,prepacked,2022-02-11,1.01,kg
vegetable,cabbage,white,2022-02-11,0.42,kg
vegetable,cabbage,round_green_other,2022-02-11,0.47,head
vegetable,carrots,topped_washed,2022-02-11,0.48,kg
vegetable,cauliflower,all,2022-02-11,0.82,head
vegetable,celeriac,celeriac,2022-02-11,0.69,kg
vegetable,chinese_leaf,chinese_leaf,2022-02-11,0.97,kg
vegetable,leeks,trimmed,2022-02-11,1.2,kg
vegetable,lettuce,butterhead_indoor,2022-02-11,0.47,head
vegetable,lettuce,little_gem,2022-02-11,0.8,twin
vegetable,onion,bulb_brown,2022-02-11,0.46,kg
vegetable,onion,bulb_red,2022-02-11,0.56,kg
vegetable,swede,swede,2022-02-11,0.24,kg
vegetable,turnip,turnip,2022-02-11,1.09,kg
vegetable,parsnips,all_varieties,2022-02-11,1.04,kg
vegetable,rhubarb,forced,2022-02-11,5.04,kg
cut_flowers,tulips,tulips,2022-02-11,0.27,stem
fruit,apples,bramleys_seedling,2022-02-04,1.94,kg
fruit,apples,coxs_orange_group,2022-02-04,1.35,kg
fruit,apples,egremont_russet,2022-02-04,1.22,kg
fruit,apples,braeburn,2022-02-04,1.02,kg
fruit,apples,gala,2022-02-04,1.01,kg
fruit,apples,other_late_season,2022-02-04,1.23,kg
fruit,pears,conference,2022-02-04,1.17,kg
fruit,pears,doyenne_du_comice,2022-02-04,1.1,kg
vegetable,beetroot,beetroot,2022-02-04,0.53,kg
vegetable,brussels_sprouts,brussels_sprouts,2022-02-04,0.84,kg
vegetable,pak_choi,pak_choi,2022-02-04,3.38,kg
vegetable,curly_kale,curly_kale,2022-02-04,3.55,kg
vegetable,cabbage,red,2022-02-04,0.59,kg
vegetable,cabbage,savoy,2022-02-04,0.48,head
vegetable,spring_greens,prepacked,2022-02-04,1.13,kg
vegetable,cabbage,white,2022-02-04,0.42,kg
vegetable,cabbage,round_green_other,2022-02-04,0.47,head
vegetable,carrots,topped_washed,2022-02-04,0.48,kg
vegetable,cauliflower,all,2022-02-04,0.9,head
vegetable,celeriac,celeriac,2022-02-04,0.69,kg
vegetable,chinese_leaf,chinese_leaf,2022-02-04,0.97,kg
vegetable,cucumbers,cucumbers,2022-02-04,0.75,kg
vegetable,leeks,trimmed,2022-02-04,1.21,kg
vegetable,lettuce,butterhead_indoor,2022-02-04,0.47,head
vegetable,lettuce,little_gem,2022-02-04,0.85,twin
vegetable,onion,bulb_brown,2022-02-04,0.43,kg
vegetable,onion,bulb_red,2022-02-04,0.56,kg
vegetable,swede,swede,2022-02-04,0.24,kg
vegetable,turnip,turnip,2022-02-04,1.4,kg
vegetable,parsnips,all_varieties,2022-02-04,1.05,kg
vegetable,rhubarb,forced,2022-02-04,4.82,kg
cut_flowers,tulips,tulips,2022-02-04,0.27,stem
fruit,apples,bramleys_seedling,2022-01-28,1.93,kg
fruit,apples,coxs_orange_group,2022-01-28,1.2,kg
fruit,apples,egremont_russet,2022-01-28,1.21,kg
fruit,apples,braeburn,2022-01-28,1.03,kg
fruit,apples,gala,2022-01-28,1.03,kg
fruit,apples,other_late_season,2022-01-28,1.25,kg
fruit,pears,conference,2022-01-28,1.17,kg
fruit,pears,doyenne_du_comice,2022-01-28,1.05,kg
vegetable,beetroot,beetroot,2022-01-28,0.5,kg
vegetable,brussels_sprouts,brussels_sprouts,2022-01-28,0.84,kg
vegetable,pak_choi,pak_choi,2022-01-28,3,kg
vegetable,curly_kale,curly_kale,2022-01-28,3.12,kg
vegetable,cabbage,red,2022-01-28,0.59,kg
vegetable,cabbage,savoy,2022-01-28,0.47,head
vegetable,spring_greens,prepacked,2022-01-28,1.03,kg
vegetable,cabbage,white,2022-01-28,0.43,kg
vegetable,cabbage,round_green_other,2022-01-28,0.45,head
vegetable,carrots,topped_washed,2022-01-28,0.46,kg
vegetable,cauliflower,all,2022-01-28,0.79,head
vegetable,celeriac,celeriac,2022-01-28,0.69,kg
vegetable,chinese_leaf,chinese_leaf,2022-01-28,0.97,kg
vegetable,leeks,trimmed,2022-01-28,1.2,kg
vegetable,lettuce,butterhead_indoor,2022-01-28,0.46,head
vegetable,lettuce,little_gem,2022-01-28,0.78,twin
vegetable,onion,bulb_brown,2022-01-28,0.42,kg
vegetable,onion,bulb_red,2022-01-28,0.53,kg
vegetable,swede,swede,2022-01-28,0.23,kg
vegetable,turnip,turnip,2022-01-28,1.38,kg
vegetable,parsnips,all_varieties,2022-01-28,1.05,kg
vegetable,rhubarb,forced,2022-01-28,5.36,kg
cut_flowers,tulips,tulips,2022-01-28,0.22,stem
fruit,apples,bramleys_seedling,2022-01-21,2,kg
fruit,apples,coxs_orange_group,2022-01-21,1.23,kg
fruit,apples,egremont_russet,2022-01-21,1.29,kg
fruit,apples,braeburn,2022-01-21,1.02,kg
fruit,apples,gala,2022-01-21,1.04,kg
fruit,apples,other_late_season,2022-01-21,1.83,kg
fruit,pears,conference,2022-01-21,1.19,kg
fruit,pears,doyenne_du_comice,2022-01-21,1.08,kg
vegetable,beetroot,beetroot,2022-01-21,0.52,kg
vegetable,brussels_sprouts,brussels_sprouts,2022-01-21,0.85,kg
vegetable,pak_choi,pak_choi,2022-01-21,3.34,kg
vegetable,curly_kale,curly_kale,2022-01-21,3.03,kg
vegetable,cabbage,red,2022-01-21,0.55,kg
vegetable,cabbage,savoy,2022-01-21,0.47,head
vegetable,spring_greens,prepacked,2022-01-21,1.02,kg
vegetable,cabbage,white,2022-01-21,0.43,kg
vegetable,cabbage,round_green_other,2022-01-21,0.47,head
vegetable,carrots,topped_washed,2022-01-21,0.46,kg
vegetable,cauliflower,all,2022-01-21,0.69,head
vegetable,celeriac,celeriac,2022-01-21,0.69,kg
vegetable,chinese_leaf,chinese_leaf,2022-01-21,0.97,kg
vegetable,leeks,trimmed,2022-01-21,1.13,kg
vegetable,lettuce,butterhead_indoor,2022-01-21,0.47,head
vegetable,lettuce,little_gem,2022-01-21,0.79,twin
vegetable,onion,bulb_brown,2022-01-21,0.42,kg
vegetable,onion,bulb_red,2022-01-21,0.53,kg
vegetable,swede,swede,2022-01-21,0.23,kg
vegetable,turnip,turnip,2022-01-21,1.82,kg
vegetable,parsnips,all_varieties,2022-01-21,1.04,kg
vegetable,rhubarb,forced,2022-01-21,5.68,kg
cut_flowers,tulips,tulips,2022-01-21,0.22,stem
fruit,apples,bramleys_seedling,2022-01-14,1.91,kg
fruit,apples,coxs_orange_group,2022-01-14,1.18,kg
fruit,apples,egremont_russet,2022-01-14,1.13,kg
fruit,apples,braeburn,2022-01-14,0.96,kg
fruit,apples,gala,2022-01-14,1,kg
fruit,apples,other_late_season,2022-01-14,1.87,kg
fruit,pears,conference,2022-01-14,1.18,kg
fruit,pears,doyenne_du_comice,2022-01-14,1.07,kg
vegetable,beetroot,beetroot,2022-01-14,0.52,kg
vegetable,brussels_sprouts,brussels_sprouts,2022-01-14,0.84,kg
vegetable,pak_choi,pak_choi,2022-01-14,3.34,kg
vegetable,curly_kale,curly_kale,2022-01-14,3.37,kg
vegetable,cabbage,red,2022-01-14,0.57,kg
vegetable,cabbage,savoy,2022-01-14,0.47,head
vegetable,spring_greens,prepacked,2022-01-14,0.94,kg
vegetable,cabbage,white,2022-01-14,0.44,kg
vegetable,cabbage,round_green_other,2022-01-14,0.48,head
vegetable,carrots,topped_washed,2022-01-14,0.48,kg
vegetable,cauliflower,all,2022-01-14,0.68,head
vegetable,celeriac,celeriac,2022-01-14,0.71,kg
vegetable,chinese_leaf,chinese_leaf,2022-01-14,0.97,kg
vegetable,leeks,trimmed,2022-01-14,1.13,kg
vegetable,lettuce,butterhead_indoor,2022-01-14,0.46,head
vegetable,lettuce,little_gem,2022-01-14,0.81,twin
vegetable,onion,bulb_brown,2022-01-14,0.42,kg
vegetable,onion,bulb_red,2022-01-14,0.6,kg
vegetable,swede,swede,2022-01-14,0.24,kg
vegetable,turnip,turnip,2022-01-14,1.86,kg
vegetable,parsnips,all_varieties,2022-01-14,1.07,kg
vegetable,rhubarb,forced,2022-01-14,5.48,kg
cut_flowers,tulips,tulips,2022-01-14,0.29,stem
fruit,apples,bramleys_seedling,2022-01-07,1.9,kg
fruit,apples,coxs_orange_group,2022-01-07,1.07,kg
fruit,apples,egremont_russet,2022-01-07,0.96,kg
fruit,apples,braeburn,2022-01-07,0.97,kg
fruit,apples,gala,2022-01-07,0.95,kg
fruit,pears,conference,2022-01-07,1.3,kg
fruit,pears,doyenne_du_comice,2022-01-07,0.99,kg
vegetable,beetroot,beetroot,2022-01-07,0.54,kg
vegetable,brussels_sprouts,brussels_sprouts,2022-01-07,0.87,kg
vegetable,pak_choi,pak_choi,2022-01-07,3.25,kg
vegetable,curly_kale,curly_kale,2022-01-07,3.4,kg
vegetable,cabbage,red,2022-01-07,0.58,kg
vegetable,cabbage,savoy,2022-01-07,0.49,head
vegetable,spring_greens,prepacked,2022-01-07,0.94,kg
vegetable,cabbage,white,2022-01-07,0.46,kg
vegetable,cabbage,round_green_other,2022-01-07,0.48,head
vegetable,carrots,topped_washed,2022-01-07,0.47,kg
vegetable,cauliflower,all,2022-01-07,0.68,head
vegetable,celeriac,celeriac,2022-01-07,0.67,kg
vegetable,chinese_leaf,chinese_leaf,2022-01-07,0.96,kg
vegetable,leeks,trimmed,2022-01-07,1.15,kg
vegetable,lettuce,butterhead_indoor,2022-01-07,0.44,head
vegetable,lettuce,little_gem,2022-01-07,0.8,twin
vegetable,onion,bulb_brown,2022-01-07,0.46,kg
vegetable,onion,bulb_red,2022-01-07,0.62,kg
vegetable,swede,swede,2022-01-07,0.24,kg
vegetable,turnip,turnip,2022-01-07,1.87,kg
vegetable,parsnips,all_varieties,2022-01-07,1.05,kg
vegetable,rhubarb,forced,2022-01-07,4.94,kg
cut_flowers,tulips,tulips,2022-01-07,0.29,stem
fruit,apples,bramleys_seedling,2021-12-17,1.69,kg
fruit,apples,coxs_orange_group,2021-12-17,0.97,kg
fruit,apples,egremont_russet,2021-12-17,1.06,kg
fruit,apples,braeburn,2021-12-17,0.84,kg
fruit,apples,gala,2021-12-17,0.94,kg
fruit,apples,other_mid_season,2021-12-17,1.04,kg
fruit,apples,other_late_season,2021-12-17,1.01,kg
fruit,pears,conference,2021-12-17,0.77,kg
fruit,pears,doyenne_du_comice,2021-12-17,0.84,kg
vegetable,beetroot,beetroot,2021-12-17,0.54,kg
vegetable,brussels_sprouts,brussels_sprouts,2021-12-17,0.87,kg
vegetable,pak_choi,pak_choi,2021-12-17,2.94,kg
vegetable,curly_kale,curly_kale,2021-12-17,3.61,kg
vegetable,cabbage,red,2021-12-17,0.57,kg
vegetable,cabbage,savoy,2021-12-17,0.56,head
vegetable,spring_greens,prepacked,2021-12-17,0.96,kg
vegetable,cabbage,summer_autumn_pointed,2021-12-17,0.62,kg
vegetable,cabbage,white,2021-12-17,0.48,kg
vegetable,cabbage,round_green_other,2021-12-17,0.51,head
vegetable,carrots,topped_washed,2021-12-17,0.45,kg
vegetable,cauliflower,all,2021-12-17,1.15,head
vegetable,celery,all_washed,2021-12-17,0.78,kg
vegetable,celeriac,celeriac,2021-12-17,0.73,kg
vegetable,chinese_leaf,chinese_leaf,2021-12-17,0.97,kg
vegetable,leeks,trimmed,2021-12-17,1.15,kg
vegetable,lettuce,butterhead_indoor,2021-12-17,0.44,head
vegetable,lettuce,little_gem,2021-12-17,0.77,twin
vegetable,onion,bulb_brown,2021-12-17,0.4,kg
vegetable,onion,bulb_red,2021-12-17,0.56,kg
vegetable,swede,swede,2021-12-17,0.22,kg
vegetable,turnip,turnip,2021-12-17,1.28,kg
vegetable,parsnips,all_varieties,2021-12-17,1.13,kg
vegetable,tomatoes,vine,2021-12-17,1.26,kg
cut_flowers,tulips,tulips,2021-12-17,0.29,stem
fruit,apples,bramleys_seedling,2021-12-10,1.58,kg
fruit,apples,coxs_orange_group,2021-12-10,1.03,kg
fruit,apples,egremont_russet,2021-12-10,1.1,kg
fruit,apples,braeburn,2021-12-10,0.86,kg
fruit,apples,gala,2021-12-10,0.9,kg
fruit,apples,other_late_season,2021-12-10,1.03,kg
fruit,pears,conference,2021-12-10,0.93,kg
fruit,pears,doyenne_du_comice,2021-12-10,0.92,kg
fruit,pears,other,2021-12-10,0.87,kg
vegetable,beetroot,beetroot,2021-12-10,0.55,kg
vegetable,brussels_sprouts,brussels_sprouts,2021-12-10,0.92,kg
vegetable,pak_choi,pak_choi,2021-12-10,3.03,kg
vegetable,curly_kale,curly_kale,2021-12-10,3.66,kg
vegetable,cabbage,red,2021-12-10,0.57,kg
vegetable,cabbage,savoy,2021-12-10,0.56,head
vegetable,spring_greens,prepacked,2021-12-10,0.88,kg
vegetable,cabbage,summer_autumn_pointed,2021-12-10,0.62,kg
vegetable,cabbage,white,2021-12-10,0.47,kg
vegetable,cabbage,round_green_other,2021-12-10,0.51,head
vegetable,carrots,topped_washed,2021-12-10,0.46,kg
vegetable,cauliflower,all,2021-12-10,1.69,head
vegetable,celery,all_washed,2021-12-10,0.78,kg
vegetable,celeriac,celeriac,2021-12-10,0.75,kg
vegetable,chinese_leaf,chinese_leaf,2021-12-10,1.02,kg
vegetable,leeks,trimmed,2021-12-10,1.23,kg
vegetable,lettuce,butterhead_indoor,2021-12-10,0.44,head
vegetable,lettuce,little_gem,2021-12-10,0.77,twin
vegetable,onion,bulb_brown,2021-12-10,0.4,kg
vegetable,onion,bulb_red,2021-12-10,0.58,kg
vegetable,swede,swede,2021-12-10,0.23,kg
vegetable,turnip,turnip,2021-12-10,1.46,kg
vegetable,parsnips,all_varieties,2021-12-10,1.13,kg
vegetable,tomatoes,vine,2021-12-10,1.23,kg
cut_flowers,tulips,tulips,2021-12-10,0.29,stem
fruit,apples,bramleys_seedling,2021-12-03,1.54,kg
fruit,apples,coxs_orange_group,2021-12-03,1.03,kg
fruit,apples,egremont_russet,2021-12-03,1.17,kg
fruit,apples,braeburn,2021-12-03,0.88,kg
fruit,apples,gala,2021-12-03,0.96,kg
fruit,apples,other_late_season,2021-12-03,0.84,kg
fruit,pears,conference,2021-12-03,0.85,kg
fruit,pears,doyenne_du_comice,2021-12-03,0.95,kg
fruit,pears,other,2021-12-03,0.78,kg
vegetable,beetroot,beetroot,2021-12-03,0.56,kg
vegetable,brussels_sprouts,brussels_sprouts,2021-12-03,0.95,kg
vegetable,pak_choi,pak_choi,2021-12-03,2.87,kg
vegetable,curly_kale,curly_kale,2021-12-03,3.47,kg
vegetable,cabbage,red,2021-12-03,0.56,kg
vegetable,cabbage,savoy,2021-12-03,0.56,head
vegetable,spring_greens,prepacked,2021-12-03,0.87,kg
vegetable,cabbage,summer_autumn_pointed,2021-12-03,0.64,kg
vegetable,cabbage,white,2021-12-03,0.47,kg
vegetable,cabbage,round_green_other,2021-12-03,0.5,head
vegetable,carrots,topped_washed,2021-12-03,0.46,kg
vegetable,cauliflower,all,2021-12-03,1.49,head
vegetable,celery,all_washed,2021-12-03,0.78,kg
vegetable,celeriac,celeriac,2021-12-03,0.77,kg
vegetable,chinese_leaf,chinese_leaf,2021-12-03,0.95,kg
vegetable,coriander,coriander,2021-12-03,4.3,kg
vegetable,leeks,trimmed,2021-12-03,1.17,kg
vegetable,lettuce,butterhead_indoor,2021-12-03,0.45,head
vegetable,lettuce,little_gem,2021-12-03,0.81,twin
vegetable,onion,bulb_brown,2021-12-03,0.38,kg
vegetable,onion,bulb_red,2021-12-03,0.58,kg
vegetable,swede,swede,2021-12-03,0.23,kg
vegetable,turnip,turnip,2021-12-03,1.4,kg
vegetable,parsnips,all_varieties,2021-12-03,1.14,kg
vegetable,spinach_leaf,loose_bunches,2021-12-03,1.1,kg
cut_flowers,tulips,tulips,2021-12-03,0.3,stem
fruit,apples,bramleys_seedling,2021-11-26,1.59,kg
fruit,apples,coxs_orange_group,2021-11-26,1.2,kg
fruit,apples,egremont_russet,2021-11-26,1.24,kg
fruit,apples,braeburn,2021-11-26,1.06,kg
fruit,apples,gala,2021-11-26,1.01,kg
fruit,apples,other_mid_season,2021-11-26,0.8,kg
fruit,apples,other_late_season,2021-11-26,0.9,kg
fruit,pears,conference,2021-11-26,1.02,kg
fruit,pears,doyenne_du_comice,2021-11-26,1.02,kg
fruit,raspberries,raspberries,2021-11-26,4.8,kg
vegetable,beetroot,beetroot,2021-11-26,0.52,kg
vegetable,brussels_sprouts,brussels_sprouts,2021-11-26,0.91,kg
vegetable,pak_choi,pak_choi,2021-11-26,2.75,kg
vegetable,curly_kale,curly_kale,2021-11-26,3.12,kg
vegetable,cabbage,red,2021-11-26,0.57,kg
vegetable,cabbage,savoy,2021-11-26,0.51,head
vegetable,spring_greens,prepacked,2021-11-26,0.87,kg
vegetable,cabbage,summer_autumn_pointed,2021-11-26,0.6,kg
vegetable,cabbage,white,2021-11-26,0.47,kg
vegetable,cabbage,round_green_other,2021-11-26,0.47,head
vegetable,calabrese,calabrese,2021-11-26,1.5,kg
vegetable,capsicum,green,2021-11-26,1,kg
vegetable,capsicum,red,2021-11-26,0.75,kg
vegetable,carrots,topped_washed,2021-11-26,0.46,kg
vegetable,cauliflower,all,2021-11-26,1.03,head
vegetable,celery,all_washed,2021-11-26,0.76,kg
vegetable,celeriac,celeriac,2021-11-26,0.69,kg
vegetable,chinese_leaf,chinese_leaf,2021-11-26,0.95,kg
vegetable,coriander,coriander,2021-11-26,1.5,kg
vegetable,leeks,trimmed,2021-11-26,1.19,kg
vegetable,lettuce,butterhead_indoor,2021-11-26,0.45,head
vegetable,lettuce,little_gem,2021-11-26,0.83,twin
vegetable,onion,bulb_brown,2021-11-26,0.4,kg
vegetable,onion,bulb_red,2021-11-26,0.56,kg
vegetable,swede,swede,2021-11-26,0.23,kg
vegetable,turnip,turnip,2021-11-26,1.64,kg
vegetable,parsnips,all_varieties,2021-11-26,1.08,kg
vegetable,spinach_leaf,loose_bunches,2021-11-26,1.1,kg
fruit,apples,bramleys_seedling,2021-11-19,1.6,kg
fruit,apples,coxs_orange_group,2021-11-19,1.14,kg
fruit,apples,egremont_russet,2021-11-19,1.19,kg
fruit,apples,braeburn,2021-11-19,1.09,kg
fruit,apples,gala,2021-11-19,1.02,kg
fruit,apples,other_early_season,2021-11-19,1.06,kg
fruit,apples,other_late_season,2021-11-19,0.66,kg
fruit,pears,conference,2021-11-19,1.12,kg
fruit,pears,doyenne_du_comice,2021-11-19,1.06,kg
fruit,strawberries,strawberries,2021-11-19,8.75,kg
vegetable,beetroot,beetroot,2021-11-19,0.53,kg
vegetable,brussels_sprouts,brussels_sprouts,2021-11-19,0.95,kg
vegetable,pak_choi,pak_choi,2021-11-19,2.69,kg
vegetable,curly_kale,curly_kale,2021-11-19,3.22,kg
vegetable,cabbage,red,2021-11-19,0.56,kg
vegetable,cabbage,savoy,2021-11-19,0.52,head
vegetable,spring_greens,prepacked,2021-11-19,0.85,kg
vegetable,cabbage,summer_autumn_pointed,2021-11-19,0.6,kg
vegetable,cabbage,white,2021-11-19,0.47,kg
vegetable,cabbage,round_green_other,2021-11-19,0.47,head
vegetable,calabrese,calabrese,2021-11-19,1.47,kg
vegetable,capsicum,red,2021-11-19,1,kg
vegetable,capsicum,elongated,2021-11-19,1.7,kg
vegetable,carrots,topped_washed,2021-11-19,0.46,kg
vegetable,cauliflower,all,2021-11-19,0.95,head
vegetable,celery,all_washed,2021-11-19,0.78,kg
vegetable,celeriac,celeriac,2021-11-19,0.69,kg
vegetable,chinese_leaf,chinese_leaf,2021-11-19,0.89,kg
vegetable,coriander,coriander,2021-11-19,2.31,kg
vegetable,cucumbers,cucumbers,2021-11-19,0.9,kg
vegetable,leeks,trimmed,2021-11-19,1.22,kg
